link,username,count_comment
https://habr.com/ru/company/pvs-studio/blog/443100/,SvyatoslavMC,15
https://habr.com/ru/company/pvs-studio/blog/443100/,Andrey2008,13
https://habr.com/ru/company/pvs-studio/blog/443100/,qw1,12
https://habr.com/ru/company/pvs-studio/blog/443100/,staticlab,7
https://habr.com/ru/company/pvs-studio/blog/443100/,EvgeniyRyzhkov,6
https://habr.com/ru/company/pvs-studio/blog/443100/,sumanai,6
https://habr.com/ru/company/pvs-studio/blog/443100/,lany,5
https://habr.com/ru/company/pvs-studio/blog/443100/,creker,4
https://habr.com/ru/company/pvs-studio/blog/443100/,Nagg,3
https://habr.com/ru/company/pvs-studio/blog/443100/,dimm_ddr,3
https://habr.com/ru/company/pvs-studio/blog/443100/,mapron,3
https://habr.com/ru/company/pvs-studio/blog/443100/,AndrewN,2
https://habr.com/ru/company/pvs-studio/blog/443100/,Artemis86,2
https://habr.com/ru/company/pvs-studio/blog/443100/,DistortNeo,2
https://habr.com/ru/company/pvs-studio/blog/443100/,FloorZ,2
https://habr.com/ru/company/pvs-studio/blog/443100/,Jogger,2
https://habr.com/ru/company/pvs-studio/blog/443100/,NeocortexLab,2
https://habr.com/ru/company/pvs-studio/blog/443100/,WayMax,2
https://habr.com/ru/company/pvs-studio/blog/443100/,WinPooh73,2
https://habr.com/ru/company/pvs-studio/blog/443100/,alan008,2
https://habr.com/ru/company/pvs-studio/blog/443100/,arctic-fox,2
https://habr.com/ru/company/pvs-studio/blog/443100/,dev96,2
https://habr.com/ru/company/pvs-studio/blog/443100/,mk2,2
https://habr.com/ru/company/pvs-studio/blog/443100/,neurocore,2
https://habr.com/ru/company/pvs-studio/blog/443100/,sergpank,2
https://habr.com/ru/company/pvs-studio/blog/443100/,yleo,2
https://habr.com/ru/company/pvs-studio/blog/443100/,200sx_Pilot,1
https://habr.com/ru/company/pvs-studio/blog/443100/,Al_Azif,1
https://habr.com/ru/company/pvs-studio/blog/443100/,Am0ralist,1
https://habr.com/ru/company/pvs-studio/blog/443100/,Areso,1
https://habr.com/ru/company/pvs-studio/blog/443100/,Cenzo,1
https://habr.com/ru/company/pvs-studio/blog/443100/,CoolCmd,1
https://habr.com/ru/company/pvs-studio/blog/443100/,DanilinS,1
https://habr.com/ru/company/pvs-studio/blog/443100/,DjSens,1
https://habr.com/ru/company/pvs-studio/blog/443100/,GomboTs,1
https://habr.com/ru/company/pvs-studio/blog/443100/,GreyStrannik,1
https://habr.com/ru/company/pvs-studio/blog/443100/,KumoKairo,1
https://habr.com/ru/company/pvs-studio/blog/443100/,MaximRV,1
https://habr.com/ru/company/pvs-studio/blog/443100/,Mingun,1
https://habr.com/ru/company/pvs-studio/blog/443100/,Miron11,1
https://habr.com/ru/company/pvs-studio/blog/443100/,Nomad1,1
https://habr.com/ru/company/pvs-studio/blog/443100/,VBKesha,1
https://habr.com/ru/company/pvs-studio/blog/443100/,agarus,1
